iataCode,nbPassenger,name
32A,166,Airbus A320 (sharklets)
AT7,68,ATR 72
76F,229,Boeing 767 Freighter
74F,368,Boeing 747 Freighter
73H,155,Boeing 737-800 (winglets) Passenger/BBJ2
320,269,Airbus A320
772,283,Boeing 777-200 / 200ER
332,237,Airbus A330-200
321,173,Airbus A321
388,425,Airbus A380-800 Passenger
333,285,Airbus A330-300
773,284,Boeing 777-300
32S,200,Airbus A318 / A319 / A320 / A321
77W,267,Boeing 777-300ER
359,253,Airbus A350-900
777,280,Boeing 777
788,197,Boeing 787-8
789,251,Boeing 787-9
767,229,Boeing 767 Passenger
319,128,Airbus A319
737,151,Boeing 737 Passenger
738,163,Boeing 737-800 Passenger
74Y,355,Boeing 747-400 Freighter
739,160,Boeing 737-900 Passenger
